E_low[eV],E_high[eV],flux_bin [n·s⁻¹],err_bin [n·s⁻¹],flux_per_energy [n·cm⁻²·s⁻¹/eV],err_per_energy [n·cm⁻²·s⁻¹/eV],flux_per_lethargy [n·cm⁻²·s⁻¹],err_per_lethargy [n·cm⁻²·s⁻¹]
65.5029,65.8312,38706281491.812904,7047292822.114556,117899121205.6444,21466015297.333492,7742063298300.576,1409605495738.7417
65.8312,66.1612,41703924973.17743,9447502224.396204,126375530221.75044,28628794619.382584,8340278701126.047,1889385750421.5918
66.1612,66.4929,19956895998.858463,2526271125.574078,60165498941.385994,7616132425.607435,3990587581045.458,505154016969.6881
66.4929,66.8261,28538299251.748825,5094709697.674655,85649157418.21613,15290245191.100826,5709312177672.419,1019236916049.1302
66.8261,69.0682,184426594223.39133,14161860841.434336,82256185818.3804,6316337737.582751,5588312637663.954,429118730117.4383
69.0682,71.8869,227266700604.1123,17048372301.447206,80628197610.2859,6048310320.873897,5681341543417.891,426184854826.52484
71.8869,73.5595,129977106517.86014,11029808379.809622,77709617671.80434,6594408932.087531,5650918378840.515,479534808539.4619
73.5595,76.3322,221908578676.42682,16595610090.343424,80033389359.26236,5985360872.1980095,5997144088653.0625,448501205066.15094
76.3322,79.3679,238167861314.1913,18111059413.943005,78455664694.86143,5966024117.647651,6106616413440.743,464366989197.1058
79.3679,83.9393,340215919817.3654,19818034236.82034,74422697601.90874,4335222084.44248,6074499828697.009,353847773029.84955
83.9393,88.7741,340366899563.3466,20190414115.713406,70399375271.64444,4176059840.265037,6077075274390.612,360489420562.6871
88.7741,93.3256,320080327356.6484,23419128539.25101,70324140911.0511,5145364943.260696,6401002102946.756,468338345773.72815
93.3256,97.3287,243729638958.1069,15424139042.673761,60885223691.16602,3853048647.9662633,5802735334587.142,367219173716.87427
97.3287,100.594,170458158624.73343,11799636491.910582,52202908959.27896,3613645451.2328405,5165367248197.144,357562561790.47455
100.594,101.098,29271892616.608284,6030547216.666511,58079152017.07937,11965371461.639786,5857031877698.023,1206656083041.8718
101.098,101.605,21824229107.49897,3331228055.5885096,43045816780.07644,6570469537.649856,4362744452694.128,665924860328.0134
101.605,102.115,25807218658.46071,5516027330.527044,50602389526.394455,10815739863.778711,5154343245452.598,1101687810263.619
102.115,103.038,44236318789.770065,6068418492.787469,47926672578.299,6574667922.846649,4916100573778.835,674399598576.49
103.038,105.646,160342371737.23727,13500855809.527447,61480970758.14302,5176708515.923093,6414546467020.427,540105937042.4943
105.646,110.288,260431294338.09253,16879460069.630245,56103251688.51633,3636247322.1952305,6055899970285.349,392503988408.56604
110.288,112.854,152832446577.48718,13801336604.447676,59560579336.510925,5378541155.279682,6644794012117.104,600049537137.7202
112.854,115.48,128852211018.65997,11180516967.107046,49067864058.89556,4257622607.4284177,5601560351222.704,486047853226.5922
115.48,116.524,48762279365.48052,6697072789.421218,46707164143.18071,6414820679.522258,5418069598041.0625,744124494350.8104
116.524,117.577,62551680224.25101,9128666633.596346,59403305056.26892,8669199082.237768,6953116217853.307,1014723821804.3424
117.577,120.554,163164979145.24774,15617708415.752842,54808525073.98305,5246123082.214586,6525294469614.722,624583454655.7198
120.554,126.229,297563544425.7577,21850612626.792606,52434104744.62693,3850328216.1749105,6468211923154.033,474972138786.6551
126.229,132.701,298229609801.138,20866256407.90222,46079976792.51209,3224081645.225933,5963880329149.494,417275320908.1347
132.701,139.504,291395968901.1489,17760715711.296288,42833451256.96737,2610718170.1155806,5827918859211.2,355214282604.11395
139.504,146.657,293174165405.6073,19612785873.019344,40986182777.24123,2741896529.1513057,5862491162586.099,392189344839.42175
146.657,154.176,326248143101.7127,20101589013.269943,43389831507.07723,2673439155.907701,6524507716315.762,402003736727.4731
154.176,163.056,335797713518.17334,19855536848.090088,37815057828.623024,2235983879.2894187,5995722828562.651,354523842066.05914
163.056,167.519,169457207820.16528,14514209188.218033,37969349724.43771,3252119468.567791,6275286918000.626,537485706365.51324
167.519,175.229,287242710677.18964,17715844676.83689,37255863901.062164,2297774925.659776,6383070858946.313,393679239524.44696
175.229,183.295,264089753799.67886,16486929305.097734,32741105107.820446,2044003137.254871,5867750436450.463,366319348758.5917
183.295,184.952,38684314804.162125,4726933094.487648,23345995657.309525,2852705548.8760514,4298502914262.4644,525244812659.6443
184.952,186.251,33775370857.376003,4940825703.93766,26001055317.456375,3803560973.008187,4825805319751.209,705942299396.5094
186.251,187.559,48304746338.786194,7705437082.130425,36930234203.96519,5891006943.524823,6902403167932.127,1101051912227.7869
187.559,188.877,45941280128.298065,9162498144.416265,34856813450.90869,6951819532.940958,6560639500897.713,1308449548756.321
188.877,190.204,44064972545.155235,8490285758.416589,33206460094.31447,6398105319.078072,6293930486245.721,1212692650995.6772
190.204,193.078,76609864852.24442,9018842404.479836,26656181229.034286,3138080168.5733647,5108273612129.348,601367914636.2288
193.078,195.996,72832557701.86464,8225997435.866849,24959752468.082413,2819053267.946138,4855458805491.249,548394741915.06464
195.996,200.958,134841055072.4646,11382479197.572058,27174739031.129562,2293929705.2745028,5393139277553.103,455256713938.9928
200.958,212.108,360126765945.4547,25056799111.061665,32298364658.785156,2247246557.045888,6668247455912.9375,463961451149.02527
212.108,224.325,299965914739.77814,18468280077.254448,24553156645.63956,1511686999.8571231,5355804271152.31,329745775963.92426
224.325,235.59,260056605101.534,15215908760.10101,23085362192.768192,1350724257.4434967,5307059503246.028,310515986141.9041
235.59,241.796,136809188596.60793,11890941998.172852,22044664614.342278,1916039638.7645621,5261462483430.835,457306602413.3248
241.796,256.748,392168397593.5442,25395102147.546932,26228491010.80419,1698441823.6722133,6535087336312.456,423183539181.5549
256.748,268.297,256392829330.6572,18104668610.953865,22200435477.58736,1567639502.203984,5826703734462.989,411441070649.49866
268.297,276.468,157865464659.57144,12510283326.85131,19320213518.488754,1531059029.109206,5261896064321.733,416986772522.17847
276.468,284.888,171328561749.12787,14447875206.926315,20347810183.98203,1715899668.2810433,5710540174516.252,481561106701.8721
284.888,288.327,71145585035.33846,8121764174.636865,20687870030.630424,2361664488.1177125,5929191999464.581,676858573049.5547
288.327,295.922,151460174817.52652,16383744796.508783,19942090166.88953,2157175088.4145784,5825080867952.095,630110446356.8157
295.922,319.928,418246352935.13586,23613278775.637806,17422575728.365257,983640705.4752076,5360769242645.998,302657363752.5449
319.928,335.323,241888445024.74356,15254101716.950497,15712143229.92815,990847789.3439763,5146277804680.533,324537391971.1268
335.323,353.575,311588072257.6181,18515551809.02939,17071448184.178059,1014439612.5920107,5878179051648.672,349300048570.4287
353.575,371.703,235188371880.52277,13716908173.226723,12973762791.290983,756669691.8152435,4703322528168.914,274312214979.47025
371.703,390.76,298125627368.8527,21930706716.36117,15643890820.635592,1150795335.9060268,5962080834406.589,438582376673.1616
390.76,419.094,391594925669.1649,20062848225.311657,13820672184.272072,708083864.8024161,5592937137607.464,286546738913.3824
419.094,453.999,452026804771.06647,20480025307.40657,12950202113.481337,586736149.7609671,5648845755218.271,255932840272.81973
453.999,501.746,549214875172.24603,23618647375.56599,11502604879.30648,494662436.91888523,5489914861362.746,236090406676.87726
501.746,539.204,434674863205.99365,24949469244.207413,11604326531.208126,666065172.8391113,6035850202052.071,346445749975.13855
539.204,577.146,452657389224.69867,22537032518.452248,11930245881.205486,593986413.9595236,6655317704602.131,331356816655.861
577.146,592.941,171594728626.8776,15896212495.27894,10863863794.040949,1006407881.9423151,6355253782057.125,588738741506.8959
592.941,600.099,65077445471.15453,8415053182.8187895,9091568241.290081,1175615141.4946594,5423204673520.535,701265321934.2334
600.099,612.834,144573225257.2022,17400042975.280804,11352432293.459232,1366316684.3565717,6884490388060.504,828579623938.3047
612.834,646.837,316721752203.83984,19571079646.11743,9314523783.308516,575569204.073682,5864479993223.109,362381820104.87177
646.837,677.287,278680513764.2758,19217651252.573795,9152069417.54599,631121551.8086623,6057635013184.225,417731098332.9966
677.287,748.517,594577678739.6188,29230685956.97436,8347292976.830249,410370433.2019424,5943371273646.303,292188599467.6538
748.517,832.218,600282825532.8662,27007157176.98075,7171752135.9705,322662300.0559226,5660367881961.183,254664032628.21558
832.218,909.681,511917813269.883,24618009495.413094,6608546186.823161,317803460.947976,5750015879047.446,276516936585.94934
909.681,982.494,500805943730.3248,25599842117.613014,6877974314.069259,351583400.18421185,6502345846432.603,332382291278.1295
982.494,1064.32,414245130191.4753,27242371522.91211,5062512284.499741,332930505.2539797,5176868758528.0205,340451031928.8223
1064.32,1134.67,308197296155.14154,16132900198.641916,4380913946.768172,229323385.9082002,4814327389978.024,252010852382.70987
1134.67,1343.58,934692798820.9044,33626800822.43258,4474141012.019075,160963098.0921574,5524286822607.1,198743472619.1701
1343.58,1586.2,981439496814.5779,36649953547.96688,4045171448.415536,151059078.1797332,5905377584841.956,220524866657.72812
1586.2,1811.83,697887153513.1731,30601196098.762417,3093060113.961678,135625564.4141401,5243557763552.556,229921325489.2377
1811.83,2084.1,749297296115.0144,28630265210.12832,2752037668.9132643,105153947.22197936,5347765732672.521,204335384635.56522
2084.1,2397.29,760628162145.6733,30616081589.35233,2428647664.822227,97755616.68428853,5428552945815.702,218504951791.914
2397.29,2700.24,696009532265.1324,34507349221.09329,2297440278.148648,113904437.10544088,5845285132088.587,289802489763.9035
2700.24,2996.18,591083182411.3347,26889705326.41594,1997307502.910504,90862017.052159,5681069038126.759,258444626610.85587
2996.18,3481.07,800990153502.4674,29355047485.438328,1651900747.5973248,60539601.73531792,5334875371947.201,195514912621.11148
3481.07,4097.35,866813021600.2065,34253859307.98326,1406524666.7102716,55581650.07461422,5311965710133.186,209913004938.28458
4097.35,5004.51,1170980131788.1497,36594031471.91538,1290819846.3205495,40339114.89915273,5845180764916.765,182666403181.20825
5004.51,6112.52,1108731520696.5276,39166176935.65389,1000651186.087244,35348216.113260604,5534439467522.957,195505252063.63345
6112.52,7465.85,1085627061510.5254,36549227550.05634,802189459.7108802,27006884.90616209,5419094543138.011,182441767154.21667
7465.85,9118.81,1060478385992.2074,33253675552.059044,641563247.7447778,20117652.908757057,5293564274589.389,165991566849.7744
9118.81,11137.7,1132747950720.4421,44705639904.2828,561074625.5221639,22143672.961024508,5654412261147.345,223160075687.12946
11137.7,13603.7,1135167735561.7651,38134512614.46736,460327548.8896047,15464117.037496902,5666217582970.7705,190349354659.18958
13603.7,14899.7,474690539965.5602,22438434262.582882,366273564.78824085,17313606.68409173,5214622333403.514,246493137277.94217
14899.7,16200.5,509983602813.9742,27960647789.941525,392053815.20139486,21494962.938146938,6091141041469.859,333956324006.5991
16200.5,18584.7,801791835194.4901,29591155596.042282,336293865.9485319,12411356.260398572,5835269687115.251,215358108771.97488
18584.7,22699.4,1231806833186.6992,42311444442.36975,299367349.5483751,10282996.194709152,6148786289900.873,211205216990.1494
22699.4,24999.1,634086921659.2406,29144581816.80125,275725930.19056463,12673210.339088267,6568209345143.703,301895068500.23444
24999.1,26100.1,249707942391.87677,17105069461.850758,226801037.59480178,15535939.565713676,5793330561828.8545,396844892983.144
26100.1,27394.4,316259055531.21106,20343977008.881416,244347566.66245103,15718131.04294319,6533712199559.097,420293706838.5714
27394.4,29281.0,444221795904.4391,24223339364.254128,235461568.90938166,12839679.510364754,6668741483842.508,363645344701.517
29281.0,33459.6,1047654057601.1583,38580494857.76275,250718914.85214153,9232875.809544528,7847664430160.934,288994993143.5619
33459.6,36978.6,434196752487.92395,19125335131.1349,123386403.0940392,5434877.843459762,4340131706285.2007,191172487864.882
36978.6,40867.7,548909230304.63135,25521506220.68826,141140425.88378584,6562316.788122771,5486769986673.021,255107086227.4397
40867.7,49915.9,1240214071193.088,36516678326.01813,137067490.90350428,4035794.779737198,6190760660401.437,182279834490.00134
49915.9,55165.6,674648484797.3861,28202837042.55222,128511816.82713039,5372275.94768315,6743675891930.98,281910945527.48676
55165.6,67379.4,1359060712964.9475,45014826776.37555,111272553.4203072,3685570.9751572455,6783999337330.047,224699715110.39835
67379.4,82297.4,1637746854857.589,43465696444.03644,109783272.21193117,2913641.000404641,8175094816162.714,216966491876.69653
82297.4,94664.5,838071753610.3777,27855401768.39189,67766230.85528356,2252379.439673964,5981360261548.818,198805403581.70215
94664.5,115624.0,1565751109107.1516,42177279387.76685,74703647.94518723,2012322.7838339107,7815546969305.965,210530592107.07126
115624.0,122773.0,429523894497.26447,24513113812.16449,60081674.98912638,3428887.090804936,7158424693468.801,408534383010.73834
122773.0,140000.0,1343145740289.0537,42481043338.32487,77967477.81326137,2465957.1218624753,10221836669296.213,323296477456.12524
140000.0,164999.0,1230991394082.165,35010688037.54546,49241625.42830374,1400483.5408434523,7484056441870.222,212854424979.1982
164999.0,195008.0,1670179032078.2637,48953288744.07201,55655937.621322386,1631286.9053974478,9983397738770.996,292615427907.05505
195008.0,230014.0,1606814632239.8362,46807191621.34691,45901120.7290132,1337119.1116193484,9721351330103.395,283187086672.4015
230014.0,267826.0,1759260747581.0142,46423857146.44737,46526519.29495965,1227754.6055867812,11547927974713.332,304729903951.24335
267826.0,320646.0,2100526537433.7776,52876063301.17954,39767636.07409651,1001061.4029000291,11653840145653.852,293359392638.8789
320646.0,383884.0,2428875092593.7217,54950263128.80298,38408474.217934184,868943.722584569,13475347517528.104,304862894801.84906
383884.0,412501.0,971232989037.0474,38239615364.07022,33939021.87640379,1336255.210681421,13505536169700.455,531743170016.2153
412501.0,456021.0,1004511644045.2417,37940642357.67435,23081609.467951324,871797.8482921495,10010851354294.797,378112223169.0451
456021.0,494002.0,1169164481618.7646,45134351853.15909,30782877.79728719,1188340.2715346909,14610530767682.236,564024007569.0244
494002.0,578443.0,2476932000848.1353,65114415388.42443,29333285.973024186,771123.2148887913,15680335646191.326,412209898514.134
578443.0,706511.0,3498103077401.5786,70100746227.27219,27314419.506836824,547371.2889033341,17461507069486.648,349922414731.4289
706511.0,860006.0,4011768818894.6978,74610890940.60098,26136153.092248593,486080.26932864904,20372853862225.85,378894409494.44525
860006.0,951119.0,1832477616113.7544,55286861182.58086,20112142.24220204,606794.4330949575,18189740410131.15,548794508679.9218
951119.0,1051150.0,1505847472293.9504,47570259853.38246,15053808.042446347,475555.17642913165,15052067246261.328,475500184055.47046
1051150.0,1162050.0,2019340802279.3716,62633029364.14077,18208663.68150921,564770.3279002775,20124394826530.508,624189740871.3218
1162050.0,1286960.0,2082540969644.9893,65004871486.943054,16672331.836081892,520413.6697377556,20388781774961.383,636419719167.6989
1286960.0,1336940.0,661555449854.1447,33183402501.379707,13236403.558506297,663933.6234769849,17362349038698.805,870889683771.1931
1336940.0,1405770.0,1122378282879.8933,44195696628.40994,16306527.428154778,642099.3262881003,22354995118281.285,880268798360.9811
1405770.0,1636540.0,3497255910045.977,86925249405.22641,15154725.094448918,376674.8251732305,22986270363457.164,571330018629.7234
1636540.0,1901390.0,3422745301906.458,80364485949.10143,12923335.102535238,303433.9662038944,22796780669201.33,535257928410.37006
1901390.0,2231300.0,3530098909005.582,81431759275.56006,10700187.654225644,246830.22422951733,22039715272804.8,508408640907.5988
2231300.0,2725310.0,5307144176445.775,117993848129.14244,10742989.365490122,238849.10857906204,26491837560704.32,588993581835.0187
2725310.0,3328710.0,4178503622046.3037,108032210287.88452,6924931.425333616,179039.12875022294,20857459663371.418,539254640473.6467
3328710.0,4065690.0,3046680738535.1074,85912040864.18105,4134007.352350278,116573.09677899134,15208148894673.041,428848055125.03955
4065690.0,4965850.0,3149103545121.1445,87108879553.74934,3498382.004444926,96770.44031477664,15719226059416.803,434817131246.54346
4965850.0,6065300.0,2293888322690.524,79169265218.8242,2086396.2187371175,72008.06332150093,11450375493816.104,395188294634.06
6065300.0,6703190.0,666098002811.5089,41965388492.81621,1044220.7948259246,65787.81371837811,6658236936768.436,419481065172.589
6703190.0,7408170.0,533733621530.16113,41189017792.34851,757090.4444525535,58425.796181946316,5335117632246.927,411718966567.8069
7408170.0,8187300.0,351518474358.53613,33731112012.645233,451167.93649138924,43293.30408615409,3513694911545.653,337168158390.22174
8187300.0,9048360.0,249737976566.53452,24814782065.378544,290035.51037852705,28818.876809256664,2496355668091.2803,248046062969.738
9048360.0,9999990.0,189358056859.16107,26068401606.534348,198982.85768540407,27393.421399634673,1892781062465.3784,260573950261.27255
9999990.0,11618300.0,104681019471.44254,20214970806.39198,64685.39369554815,12491.408201390326,697231984902.7865,134642596062.38945
11618300.0,13840300.0,55620774037.38265,10511999301.378693,25031.85150197239,4730.872772897702,317421996479.07074,59990891226.85713
13840300.0,14918200.0,501488453.88511926,501488453.88511926,465.24580562679216,465.24580562679216,6685185015.254853,6685185015.254853
14918200.0,19640300.0,2493322417.272174,2055109626.7623398,528.0113545397544,435.21094995072957,9038066512.93214,7449585087.501981
