E_low[eV],E_high[eV],flux_bin [n·s⁻¹],err_bin [n·s⁻¹],flux_per_energy [n·cm⁻²·s⁻¹/eV],err_per_energy [n·cm⁻²·s⁻¹/eV],flux_per_lethargy [n·cm⁻²·s⁻¹],err_per_lethargy [n·cm⁻²·s⁻¹]
6.28016,6.35978,96822122008.49539,11499418020.354858,1216052775791.2104,144428761873.33524,7685264587318.687,912767333056.9354
6.35978,6.43206,58220072581.85664,7169354229.899799,805479698144.1138,99188630740.17415,5151701467499.557,634392419474.739
6.43206,6.48178,39644304210.361145,5516323995.484536,797351251214.0253,110947787519.80214,5148395081887.658,716375678527.5848
6.48178,6.51492,27576653569.835247,7127935273.077179,832125937532.7375,215085554407.8785,5407428006861.41,1397696668637.6348
6.51492,6.53907,22432960036.75793,4683828085.00017,928901036718.7676,193947332712.22495,6062922046854.408,1265891104593.0562
6.53907,6.55609,21060630120.74832,5100336628.275386,1237404824955.8008,299667251955.06714,8102000240567.295,1962093648306.9045
6.55609,6.57184,21349709804.050507,6269542361.301344,1355537130415.9302,398066181669.93396,8897691876764.857,2612890603721.4897
6.57184,6.58829,18620810822.3417,4609595223.053161,1131964183728.9888,280218554592.89984,7448392087660.516,1843854862942.489
6.58829,6.60611,13527256935.358072,3751894213.245154,759105327461.1547,210544007477.27673,5007965098937.751,1388999659326.7844
6.60611,6.63126,28151061852.993263,5509736443.667746,1119326515029.553,219075007700.50674,7408456243895.186,1449985850319.4248
6.63126,6.71668,100437091255.62051,11788099036.319284,1175802988241.869,138001627678.7553,7847113181267.191,920999863432.5009
6.71668,6.74225,24616385788.520958,5073203254.214784,962705740653.9253,198404507399.8735,6478482895135.278,1335153778801.3296
6.74225,6.75981,18968082769.37658,5218147802.850837,1080186945864.296,297161036608.82477,7292368309937.191,2006141376371.0867
6.75981,6.77605,14403596951.012299,4355870172.684401,886920994520.4722,268218606692.39236,6002614886170.892,1815283448274.047
6.77605,6.79165,18008940847.840416,5038977379.753655,1154419285117.971,323011370497.028,7831402090722.73,2191259237304.871
6.79165,6.8107,21434896393.391422,5782429300.985627,1125191411726.5833,303539595852.2637,7652616194788.683,2064423886256.1572
6.8107,6.83526,29229447854.436153,6481806585.528167,1190124098307.6543,263917206251.14536,8120179768469.808,1800698903416.063
6.83526,6.87021,32302390948.101166,6389027712.495213,924245806812.616,182804798640.77725,6333590995520.773,1252708768679.2747
6.87021,6.91778,42710636262.36114,6417505739.28352,897848145099.0463,134906574296.48087,6189723783927.795,930039713384.9763
6.91778,6.99429,63357097965.731674,8086295728.703234,828089112086.4077,105689396532.52066,5760129737393.11,735168023596.2097
6.99429,7.13987,104462341910.84183,10453515638.921223,717559705391.1385,71805987353.4911,5070782848525.314,507431738931.0932
7.13987,7.38015,229174561092.48306,17914976978.90476,953781259748.9713,74558752201.20169,6923513312824.655,541223166398.2127
7.38015,7.60035,195753085063.62003,19348383269.46599,888978587936.5153,87867317300.02748,6657952480455.115,658077068567.6318
7.60035,7.73994,108309604468.74411,12051307152.290432,775912346649.0725,86333599486.2843,5951113808356.424,662163810444.3142
7.73994,7.83965,98428370307.73535,13708550467.094204,987146427717.7352,137484208876.68448,7689510818912.696,1070951868843.9302
