nodes,fill_distance,mesh_ratio,weight_ratio,total_weight,relative_total_weight_error,relative_weight_scaling_error,algebraic_connectivity,structural_residual,maximum_harmonic_relative_residual,mean_harmonic_relative_residual
12,0.7741384971625641,1.676448098477076,1.0,12.566370614359174,1.4135798584282297e-16,0.0,2.682802319602074,1.7763568394002505e-15,0.4247002757611658,0.19057123831453088
24,0.5420769856730309,1.6913666868122041,1.0,12.566370614359172,0.0,0.0,2.3016178759481445,1.7763568394002505e-15,0.19774323936180607,0.084206366585283
48,0.38313683346064886,1.704307434942832,1.0,12.56637061435917,1.4135798584282297e-16,0.0,2.1492483472500874,5.329070518200751e-15,0.0953638938480002,0.03958690297499485
