nodes,edges,fit_residual_norm,max_harmonic_relative_residual,max_harmonic_absolute_residual,constant_residual,weighted_self_adjoint_residual,largest_eigenvalue,semigroup_minimum_t_0p02
24,101,0.5305583606463934,0.19790622410818282,0.21030167871110983,1.7763568394002505e-15,0.0,-2.2424018963341144e-16,3.6553052608467547e-07
48,198,0.1871026426041624,0.09746575192127853,0.1250297434445804,1.7763568394002505e-15,0.0,2.664535259103828e-15,1.6504255955664938e-09
72,305,0.09816178786911614,0.06334870999886999,0.06804747126337746,5.329070518200751e-15,0.0,-2.664532426069188e-15,6.02097077899386e-11
